Jour	NbJas	NumPhase	DegresDuJour	Lai	FTSW	Cstr	Eto	ETM	ETR	Sla	Assim	DayLength	Par	RgCalc	VDPCalc	TMoyCalc	HMoyCalc	EauDispo	StockSurface	StockRac	RURac	Kcp	Kce	EvapPot	Evap	TrPot	Tr	Lr	Dr	SumDegresDay	BiomasseTotale	BiomasseAerienne	BiomasseFeuilles	BiomasseTiges	BiomasseVegetative	BiomasseRacinaire	Rdt	VitesseRacinaire	FESW	Kc	Ltr	DRespMaint	DBiomTot	DRdtPot	Reallocation	RdtPot	RayExtra	SumDDPhasePrec	SeuilTemp	TMinMoy	TMaxMoy	FtswMoy	IrrigTotDay	Conversion	StockTotal	BiomMc	StockMc	LitFeuilles	LitTiges	FeuillesUp	TigesUp	Hum	EToCO2
21/04/2012	-7	NA	NA	NA	0	0	1,42938413768395	1,42938413768395	1,3055502882296	NA	NA	13,4701078011739	5,1	10,2	0	8,85	88,2	2,3	26,4480248312087	0	NA	NA	1	1,42938413768395	1,3055502882296	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,955701622570191	1	1	NA	NA	NA	NA	NA	35,600716946309	0	0	3,3	14,4	2,6	0	0	195,408024831209	0	0	0	0	0	0	198	1,42938413768395
22/04/2012	-6	NA	NA	NA	0	0	1,64878643572803	1,64878643572803	1,3675955211237	NA	NA	13,5142763739725	6,1	12,2	0	9,1	86,6	0	25,080429310085	0	NA	NA	1	1,64878643572803	1,3675955211237	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,910744656722064	1	1	NA	NA	NA	NA	NA	35,8054965072493	0	0	4,7	13,5	3,7	0	0	194,040429310085	0	0	0	0	0	0	198	1,64878643572803
23/04/2012	-5	NA	NA	NA	0	0	3,52986917132446	3,52986917132446	2,63290577813187	NA	NA	13,5581429345429	12,9	25,8	0	10,8	65,1	0	22,4475235319532	0	NA	NA	1	3,52986917132446	2,63290577813187	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,863651147041496	1	1	NA	NA	NA	NA	NA	36,007397247105	0	0	3,5	18,1	2,8	0	0	191,407523531953	0	0	0	0	0	0	198	3,52986917132446
24/04/2012	-4	NA	NA	NA	0	0	4,51411164100806	4,51411164100806	2,69721733742064	NA	NA	13,6016946741898	12,85	25,7	0	17,5	51,8	0	19,7503061945325	0	NA	NA	1	4,51411164100806	2,69721733742064	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,772986347519049	1	1	NA	NA	NA	NA	NA	36,2063760760128	0	0	6,1	28,9	2	0	0	188,710306194533	0	0	0	0	0	0	198	4,51411164100806
25/04/2012	-3	NA	NA	NA	0	0	4,8315536147546	4,8315536147546	2,23481328881244	NA	NA	13,6449185167603	10,3	20,6	0	21,25	63,2	0	17,5154929057201	0	NA	NA	1	4,8315536147546	2,23481328881244	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,680106962621644	1	1	NA	NA	NA	NA	NA	36,4023914786873	0	0	12,5	30	3,8	0	0	186,47549290572	0	0	0	0	0	0	198	4,8315536147546
26/04/2012	-2	NA	NA	NA	0	0	5,43615022395515	5,43615022395515	1,97762048621498	NA	NA	13,687801118393	12,45	24,9	0	14,95	51	0	15,5378724195051	0	NA	NA	1	5,43615022395515	1,97762048621498	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,603150582152896	1	1	NA	NA	NA	NA	NA	36,5954034883652	0	0	10,8	19,1	4,7	0	0	184,497872419505	0	0	0	0	0	0	198	5,43615022395515
27/04/2012	-1	NA	NA	NA	0	0	4,21169744669067	4,21169744669067	1,62492964944974	NA	NA	13,7303288680941	7,2	14,4	0	10,15	47,4	2,5	16,4129427700554	0	NA	NA	1	4,21169744669067	1,62492964944974	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,621138857420975	1	1	NA	NA	NA	NA	NA	36,7853736590919	0	0	6,4	13,9	6	0	0	185,372942770055	0	0	0	0	0	0	198	4,21169744669067
28/04/2012	0	1	0	0	0	0	0,912858307946631	1,18671580033062	0,677235518624234	0	0	13,772487889177	2,6	5,2	0	7,15	96,3	8,6	24,3357072514311	0	0	0,3	1	0,912858307946631	0,677235518624234	0,273857492383989	0	0	0	0	0	0	0	0	0	0	0	30	0,861327230373807	1,3	1	0	0	0	0	0	36,9722650364852	0	90	4,6	9,7	3,4	0	0	193,295707251431	0	0	0	0	0	0	198	0,912858307946631
29/04/2012	1	1	0	0	1	1	0,604810144039074	0,786253187250797	0,786253187250797	0	0	13,8142640416034	2,05	4,1	0	7,9	99,4	4,8	28,2537468127492	3,68783543518242	3,96	0,3	1	0,604810144039074	0,604810144039074	0,181443043211722	0,181443043211722	0	0,0957072514311506	0	0	0	0	0	0	0	0	30	1	1,3	1	0	0	0	0	0	37,1560421271133	0	90	6,7	9,1	2,5	0	0	197,213746812749	0	0	0	0	0	0	198	0,604810144039074
30/04/2012	2	1	4,7	0	0,970217682301106	1	1,71436512404575	2,22867466125947	2,13709906764245	0	0	13,855642925261	7,8	15,6	0	12,7	93,4	0	26,1166477451068	6,69747677748852	7,92	0,3	1	1,71436512404575	1,62278953042873	0,514309537213724	0,514309537213724	0	0	4,7	0	0	0	0	0	0	0	30	0,972925165728278	1,3	1	0	0	0	0	0	37,3366708666291	0	90	7,7	17,7	2,2	0	0	195,076647745107	0	0	0	0	0	0	198	1,71436512404575
01/05/2012	3	1	9,35	0	0,889266960041922	1	2,32689898735644	3,02496868356338	2,580067747602	0	0	13,8966098842154	9,05	18,1	0	17,35	90,3	0	23,5365799975048	9,11330238040509	11,88	0,3	1	2,32689898735644	1,88199805139506	0,698069696206933	0,698069696206933	0	0	14,05	0	0	0	0	0	0	0	30	0,899333600038111	1,3	1	0	0	0	0	0	37,5141185868011	0	90	10,1	24,6	5,3	0	0	192,496579997505	0	0	0	0	0	0	198	2,32689898735644
02/05/2012	4	1	11,4	0	1	1	1,74923202502213	2,27400163252877	2,27400163252877	0	0	13,9371500119691	6,55	13,1	0	19,4	97,5	13,7	26,7659983674712	14,2656911774801	15,84	0,3	1	1,74923202502213	1,74923202502213	0,524769607506639	0,524769607506639	0	8,19657999750473	25,45	0	0	0	0	0	0	0	30	1	1,3	1	0	0	0	0	0	37,6883539815839	0	90	14,9	23,9	3,8	0	0	195,725998367471	0	0	0	0	0	0	198	1,74923202502213
03/05/2012	5	1	15,05	0	0,989621150283001	1	3,42358783792864	4,45066418930723	4,27059881396888	0	0	13,977248157762	9,65	19,3	0	23,05	84,8	1,5	23,9953995535024	16,1600286014268	19,8	0,3	1	3,42358783792864	3,24352246259029	1,02707635137859	1,02707635137859	0	0	40,5	0	0	0	0	0	0	0	30	0,973347051221461	1,3	1	0	0	0	0	0	37,8593470723728	0	90	17,7	28,4	3,4	0	0	192,955399553502	0	0	0	0	0	0	198	3,42358783792864
04/05/2012	6	1	14,55	0	0,808916649753877	1	4,10847337624874	5,34101538912337	4,03760892056161	0	0	14,0168889339456	10,45	20,9	0	22,55	80,9	0	19,9577906329407	15,945158792506	23,76	0,3	1	4,10847337624874	2,80506690768698	1,23254201287462	1,23254201287462	0	0	55,05	0	0	0	0	0	0	0	30	0,826287863412616	1,3	1	0	0	0	0	0	38,0270691725844	0	90	16,8	28,3	2,7	0	0	188,917790632941	0	0	0	0	0	0	198	4,10847337624874
05/05/2012	7	1	15,6	0	0,718079321518977	1	4,13535854825458	5,37596611273096	3,19379926774598	0	0	14,0560567244598	7,65	15,3	0	23,6	71,6	0	16,8078174319975	16,7113595247601	27,72	0,3	1	4,13535854825458	1,9531917032696	1,24060756447637	1,24060756447637	0	0	70,65	0	0	0	0	0	0	0	30	0,687251743558566	1,3	1	0	0	0	0	0	38,1914928517059	0	90	18,6	28,6	4	0	0	185,723991365195	0	0	0	0	0	0	198	4,13535854825458
